variable,label_dta,descripcion_diccionario,descripcion_final,aparece_en_anios
C4R6MN,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Profesional Tecn,NA,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Profesional Tecn,17
C4R6OH,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Obrero,NA,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Obrero,17
C4R6OM,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Obrero,NA,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Obrero,17
C4R6TH,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Total Personal Ocupado,NA,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Total Personal Ocupado,17
C4R6TM,Aprendices y pasantes (Ley 789 de 2002) - Mujer  -Total Personal Ocupado,NA,Aprendices y pasantes (Ley 789 de 2002) - Mujer  -Total Personal Ocupado,17
C5R1C1,Energía comprada (KWH),NA,Energía comprada (KWH),17
C5R1C2,Energía autogenerada (Kwh),NA,Energía autogenerada (Kwh),17
C5R1C3,Cantidad de energía Vendida (Kwh),NA,Cantidad de energía Vendida (Kwh),17
C5R1C4,Total Energía consumida (KWH),NA,Total Energía consumida (KWH),17
C5R1C5,Valor de la Energía vendida,NA,Valor de la Energía vendida,17
C5R1C7,Energía Cogenerada (Kwh),NA,Energía Cogenerada (Kwh),16
C6R1C1,"Existencias Materias primas, materiales y empaques - al final del año anterior",NA,"Existencias Materias primas, materiales y empaques - al final del año anterior",17
C6R1C3,"Existencias Materias primas, materiales y empaques - al final del año actual",NA,"Existencias Materias primas, materiales y empaques - al final del año actual",17
C6R2C1,Existencias Productos en proceso - al final del año anterior,NA,Existencias Productos en proceso - al final del año anterior,17
C6R2C3,Existencias Productos en proceso - al final del año actual,NA,Existencias Productos en proceso - al final del año actual,17
C6R3C1,Existencias  Productos terminados  - al final del año anterior,NA,Existencias  Productos terminados  - al final del año anterior,17
C6R3C3,Existencias  Productos terminados  - al final del año actual,NA,Existencias  Productos terminados  - al final del año actual,17
C6R4C1,Existencias Productos no fabricados por el establecimiento  - al final del año a,NA,Existencias Productos no fabricados por el establecimiento  - al final del año a,17
C6R4C3,Existencias Productos no fabricados por el establecimiento  - al final del año a,NA,Existencias Productos no fabricados por el establecimiento  - al final del año a,17
C6R5C1,Total Inventarios al final del año anterior-,NA,Total Inventarios al final del año anterior-,17
C6R5C3,Total Inventarios al final del año actual,NA,Total Inventarios al final del año actual,17
C7C1R12,Valor en libros de los activos vendidos - Terrenos,NA,Valor en libros de los activos vendidos - Terrenos,17
C7C1R19,Leasing Financiero - Terrenos,NA,Leasing Financiero - Terrenos,13
C7C1R3,Valor compra de activos - usados - Terrenos,NA,Valor compra de activos - usados - Terrenos,17
C7C2R11,Retiros  causados - Edificios y estructuras,NA,Retiros  causados - Edificios y estructuras,17
C7C2R12,Valor en libros de los activos vendidos - Edificios y estructuras,NA,Valor en libros de los activos vendidos - Edificios y estructuras,17
C7C2R13,Depreciación acumulada de los activos vendidos - Edificios y estructuras,NA,Depreciación acumulada de los activos vendidos - Edificios y estructuras,17
C7C2R19,Leasing Financiero - Edificios y estructuras,NA,Leasing Financiero - Edificios y estructuras,13
C7C2R2,Valor compra de activos - nuevos - Edificios y estructuras,NA,Valor compra de activos - nuevos - Edificios y estructuras,17
C7C2R3,Valor compra de activos - usados - Edificios y estructuras,NA,Valor compra de activos - usados - Edificios y estructuras,17
C7C2R4,Costos y gastos de Producidos o construidos para uso propio - Edificios y estruc,NA,Costos y gastos de Producidos o construidos para uso propio - Edificios y estruc,17
C7C2R5,Valor causado en el año por la maquinaria en montaje - Maquinaria y equipo Indu,NA,Valor causado en el año por la maquinaria en montaje - Maquinaria y equipo Indu,17
C7C2R7,Valor causado por  mejoras y reformas a los activos  - Edificios y estructuras,NA,Valor causado por  mejoras y reformas a los activos  - Edificios y estructuras,17
C7C3R11,Retiros  causados - Maquinaria y equipo Industrial,NA,Retiros  causados - Maquinaria y equipo Industrial,17
C7C3R12,Valor en libros de los activos vendidos - Maquinaria y equipo Industrial,NA,Valor en libros de los activos vendidos - Maquinaria y equipo Industrial,17
C7C3R13,Depreciación acumulada de los activos vendidos - Maquinaria y equipo Industrial,NA,Depreciación acumulada de los activos vendidos - Maquinaria y equipo Industrial,17
C7C3R19,Leasing Financiero - Maquinaria y equipo Industrial,NA,Leasing Financiero - Maquinaria y equipo Industrial,13
C7C3R2,Valor compra de activos - nuevos - Maquinaria y equipo Industrial,NA,Valor compra de activos - nuevos - Maquinaria y equipo Industrial,17
C7C3R3,Valor compra de activos - usados - Maquinaria y equipo Industrial,NA,Valor compra de activos - usados - Maquinaria y equipo Industrial,17
C7C3R4,Costos y gastos de Producidos o construidos para uso propio - Maquinaria y equip,NA,Costos y gastos de Producidos o construidos para uso propio - Maquinaria y equip,17
C7C3R6,Valor causado en el año por la maquinaria en montaje - Maquinaria y equipo Indus,NA,Valor causado en el año por la maquinaria en montaje - Maquinaria y equipo Indus,17
C7C3R7,Valor causado por  mejoras y reformas a los activos  - Maquinaria y equipo Indu,NA,Valor causado por  mejoras y reformas a los activos  - Maquinaria y equipo Indu,17
C7C4R1,Valor en libros del año anterior -Equipo de informática y comunicación,NA,Valor en libros del año anterior -Equipo de informática y comunicación,17
C7C4R10,Valorización  causadas en el año -Equipo de informática y comunicación,NA,Valorización  causadas en el año -Equipo de informática y comunicación,17
C7C4R11,Retiros  causados -Equipo de informática y comunicación,NA,Retiros  causados -Equipo de informática y comunicación,17
C7C4R12,Valor en libros de los activos vendidos -Equipo de informática y comunicación,NA,Valor en libros de los activos vendidos -Equipo de informática y comunicación,17
C7C4R13,Depreciación acumulada de los activos vendidos -Equipo de informática y comunica,NA,Depreciación acumulada de los activos vendidos -Equipo de informática y comunica,17
C7C4R14,Valor en libros del año actual -Equipo de informática y comunicación,NA,Valor en libros del año actual -Equipo de informática y comunicación,17
C7C4R15,Depreciación causada en el año -Equipo de informática y comunicación,NA,Depreciación causada en el año -Equipo de informática y comunicación,17
C7C4R19,Leasing Financiero -Equipo de informática y comunicación,NA,Leasing Financiero -Equipo de informática y comunicación,13
C7C4R2,Valor compra de activos - nuevos - Equipo de informática y comunicación,NA,Valor compra de activos - nuevos - Equipo de informática y comunicación,17
C7C4R3,Valor compra de activos - usados - Equipo de informática y comunicación,NA,Valor compra de activos - usados - Equipo de informática y comunicación,17
C7C4R4,Costos y gastos de Producidos o construidos para uso propio - Equipo de informát,NA,Costos y gastos de Producidos o construidos para uso propio - Equipo de informát,17
C7C4R6,Valor causado en el año por la maquinaria en montaje - Equipo de informática y c,NA,Valor causado en el año por la maquinaria en montaje - Equipo de informática y c,17
C7C4R7,Valor causado por  mejoras y reformas a los activos  - Equipo de informática y,NA,Valor causado por  mejoras y reformas a los activos  - Equipo de informática y,17
C7C4R8,Total inversiones en activos fijos -Equipo de informática y comunicación,NA,Total inversiones en activos fijos -Equipo de informática y comunicación,17
C7C5R1,Valor en libros del año anterior -Equipos de oficina,NA,Valor en libros del año anterior -Equipos de oficina,17
C7C5R10,Valorización  causadas en el año -Equipos de oficina,NA,Valorización  causadas en el año -Equipos de oficina,17
C7C5R11,Retiros  causados -Equipos de oficina,NA,Retiros  causados -Equipos de oficina,17
C7C5R12,Valor en libros de los activos vendidos -Equipos de oficina,NA,Valor en libros de los activos vendidos -Equipos de oficina,17
C7C5R13,Depreciación acumulada de los activos vendidos -Equipos de oficina,NA,Depreciación acumulada de los activos vendidos -Equipos de oficina,17
C7C5R14,Valor en libros del año actual -Equipos de oficina,NA,Valor en libros del año actual -Equipos de oficina,17
C7C5R15,Depreciación causada en el año -Equipos de oficina,NA,Depreciación causada en el año -Equipos de oficina,17
C7C5R19,Leasing Financiero -Equipos de oficina,NA,Leasing Financiero -Equipos de oficina,13
C7C5R2,Valor compra de activos - nuevos - Equipos de oficina,NA,Valor compra de activos - nuevos - Equipos de oficina,17
C7C5R3,Valor compra de activos - usados - Equipos de oficina,NA,Valor compra de activos - usados - Equipos de oficina,17
C7C5R4,Costos y gastos de Producidos o construidos para uso propio - Equipos de oficina,NA,Costos y gastos de Producidos o construidos para uso propio - Equipos de oficina,17
C7C5R6,Valor causado en el año por la maquinaria en montaje -  Equipos de oficina,NA,Valor causado en el año por la maquinaria en montaje -  Equipos de oficina,17
C7C5R7,Valor causado por  mejoras y reformas a los activos  - Equipos de oficina,NA,Valor causado por  mejoras y reformas a los activos  - Equipos de oficina,17
C7C5R8,Total inversiones en activos fijos -Equipos de oficina,NA,Total inversiones en activos fijos -Equipos de oficina,17
C7C6R11,Retiros  causados -Equipo de transporte,NA,Retiros  causados -Equipo de transporte,17
C7C6R12,Valor en libros de los activos vendidos -Equipo de transporte,NA,Valor en libros de los activos vendidos -Equipo de transporte,17
C7C6R13,Depreciación acumulada de los activos vendidos -Equipo de transporte,NA,Depreciación acumulada de los activos vendidos -Equipo de transporte,17
C7C6R19,Leasing Financiero -Equipo de transporte,NA,Leasing Financiero -Equipo de transporte,13
C7C6R2,Valor compra de activos - nuevos - Equipo de transporte,NA,Valor compra de activos - nuevos - Equipo de transporte,17
C7C6R3,Valor compra de activos - usados - Equipo de transporte,NA,Valor compra de activos - usados - Equipo de transporte,17
C7C6R4,Costos y gastos de Producidos o construidos para uso propio -  Equipo de transpo,NA,Costos y gastos de Producidos o construidos para uso propio -  Equipo de transpo,17
C7C6R7,Valor causado por  mejoras y reformas a los activos  -  Equipo de transporte,NA,Valor causado por  mejoras y reformas a los activos  -  Equipo de transporte,17
C7C7R11,Total Retiros  causados,NA,Total Retiros  causados,17
C7C7R12,Total Valor en libros de los activos vendidos,NA,Total Valor en libros de los activos vendidos,17
C7C7R13,Total Depreciación acumulada de los activos vendidos,NA,Total Depreciación acumulada de los activos vendidos,17
C7C7R19,Total Leasing Financiero,NA,Total Leasing Financiero,13
C7C7R2,Total Valor compra de activos - nuevos,NA,Total Valor compra de activos - nuevos,17
C7C7R3,Total Valor compra de activos - Usados,NA,Total Valor compra de activos - Usados,17
C7C7R4,Total Costos y gastos de Producidos o construidos para uso propio,NA,Total Costos y gastos de Producidos o construidos para uso propio,17
C7C7R5,Total  Valor causado en el año por la maquinaria en montaje,NA,Total  Valor causado en el año por la maquinaria en montaje,17
C7C7R6,Total Valor causado en el año por la maquinaria en montaje,NA,Total Valor causado en el año por la maquinaria en montaje,17
C7C7R7,Total  Valor causado por  mejoras y reformas a los activos,NA,Total  Valor causado por  mejoras y reformas a los activos,17
C7R10C1,Total Valor en libros del año anterior,NA,Total Valor en libros del año anterior,17
C7R10C2,Total  inversiones en activos fijos,NA,Total  inversiones en activos fijos,17
C7R10C4,Total Valorización  causadas en el año,NA,Total Valorización  causadas en el año,17
C7R10C6,Total Valor en libros del año actual,NA,Total Valor en libros del año actual,17
C7R10C7,Total Depreciación causada en el año,NA,Total Depreciación causada en el año,17
C7R16C1,Desvalorizaciones causadas en el año- Terrenos,NA,Desvalorizaciones causadas en el año- Terrenos,17
C7R16C2,Desvalorizaciones causadas en el año- Edificios y estructuras,NA,Desvalorizaciones causadas en el año- Edificios y estructuras,17
C7R16C3,Desvalorizaciones causadas en el año- Maquinaria y equipo Industrial,NA,Desvalorizaciones causadas en el año- Maquinaria y equipo Industrial,17
C7R16C4,Desvalorizaciones causadas en el año-Equipo de informática y comunicación,NA,Desvalorizaciones causadas en el año-Equipo de informática y comunicación,17
C7R16C5,Desvalorizaciones causadas en el año-Equipos de oficina,NA,Desvalorizaciones causadas en el año-Equipos de oficina,17
C7R16C6,Desvalorizaciones causadas en el año-Equipo de transporte,NA,Desvalorizaciones causadas en el año-Equipo de transporte,17
C7R16C7,Total Desvalorizaciones causadas en el año actual,NA,Total Desvalorizaciones causadas en el año actual,17
C7R17C2,Valor de los activos trasladados en el año a otros establecimientos de la empres,NA,Valor de los activos trasladados en el año a otros establecimientos de la empres,17
C7R17C3,Valor de los activos trasladados en el año a otros establecimientos de la empres,NA,Valor de los activos trasladados en el año a otros establecimientos de la empres,17
C7R17C4,Valor de los activos trasladados en el año a otros establecimientos de la empres,NA,Valor de los activos trasladados en el año a otros establecimientos de la empres,17
C7R17C5,Valor de los activos trasladados en el año a otros establecimientos de la empres,NA,Valor de los activos trasladados en el año a otros establecimientos de la empres,17
C7R17C6,Valor de los activos trasladados en el año a otros establecimientos de la empres,NA,Valor de los activos trasladados en el año a otros establecimientos de la empres,17
C7R17C7,Total Valor de los activos trasladados en el año a otros establecimientos de la,NA,Total Valor de los activos trasladados en el año a otros establecimientos de la,17
C7R18C2,Valor de los activos recibidos en el año por traslado de otros establecimientos,NA,Valor de los activos recibidos en el año por traslado de otros establecimientos,17
C7R18C3,Valor de los activos recibidos en el año por traslado de otros establecimientos,NA,Valor de los activos recibidos en el año por traslado de otros establecimientos,17
C7R18C4,Valor de los activos recibidos en el año por traslado de otros establecimientos,NA,Valor de los activos recibidos en el año por traslado de otros establecimientos,17
C7R18C5,Valor de los activos recibidos en el año por traslado de otros establecimientos,NA,Valor de los activos recibidos en el año por traslado de otros establecimientos,17
C7R18C6,Valor de los activos recibidos en el año por traslado de otros establecimientos,NA,Valor de los activos recibidos en el año por traslado de otros establecimientos,17
C7R18C7,Total Valor de los activos recibidos en el año por traslado de otros establecimi,NA,Total Valor de los activos recibidos en el año por traslado de otros establecimi,17
C7R1C1,Valor en libros del año anterior - Terrenos,NA,Valor en libros del año anterior - Terrenos,17
C7R1C2,Total inversiones en activos fijos - Terrenos,NA,Total inversiones en activos fijos - Terrenos,17
C7R1C4,Valorización  causadas en el año - Terrenos,NA,Valorización  causadas en el año - Terrenos,17
C7R1C6,Valor en libros del año actual - Terrenos,NA,Valor en libros del año actual - Terrenos,17
C7R5C1,Valor en libros del año anterior - Edificios y estructuras,NA,Valor en libros del año anterior - Edificios y estructuras,17
C7R5C2,Total inversiones en activos fijos - Edificios y estructuras,NA,Total inversiones en activos fijos - Edificios y estructuras,17
C7R5C4,Valorización  causadas en el año - Edificios y estructuras,NA,Valorización  causadas en el año - Edificios y estructuras,17
C7R5C6,Valor en libros del año actual - Edificios y estructuras,NA,Valor en libros del año actual - Edificios y estructuras,17
C7R5C7,Depreciación causada en el año - Edificios y estructuras,NA,Depreciación causada en el año - Edificios y estructuras,17
C7R6C1,Valor en libros del año anterior - Maquinaria y equipo Industrial,NA,Valor en libros del año anterior - Maquinaria y equipo Industrial,17
C7R6C2,Total inversiones en activos fijos - Maquinaria y equipo Industrial,NA,Total inversiones en activos fijos - Maquinaria y equipo Industrial,17
C7R6C4,Valorización  causadas en el año - Maquinaria y equipo Industrial,NA,Valorización  causadas en el año - Maquinaria y equipo Industrial,17
C7R6C6,Valor en libros del año actual - Maquinaria y equipo Industrial,NA,Valor en libros del año actual - Maquinaria y equipo Industrial,17
C7R6C7,Depreciación causada en el año - Maquinaria y equipo Industrial,NA,Depreciación causada en el año - Maquinaria y equipo Industrial,17
C7R8C1,Valor en libros del año anterior -Equipo de transporte,NA,Valor en libros del año anterior -Equipo de transporte,17
C7R8C2,Total inversiones en activos fijos -Equipo de transporte,NA,Total inversiones en activos fijos -Equipo de transporte,17
C7R8C4,Valorización  causadas en el año -Equipo de transporte,NA,Valorización  causadas en el año -Equipo de transporte,17
C7R8C6,Valor en libros del año actual -Equipo de transporte,NA,Valor en libros del año actual -Equipo de transporte,17
C7R8C7,Depreciación causada en el año -Equipo de transporte,NA,Depreciación causada en el año -Equipo de transporte,17
CARBONCAUTO,Autogeneración de Carbón coque,NA,Autogeneración de Carbón coque,16
CARBONCC,Cantidad de Carbón coque,NA,Cantidad de Carbón coque,17
CARBONCCO,Cogeneración de Carbón coque,NA,Cogeneración de Carbón coque,16
CARBONCV,Valor de Carbón coque,NA,Valor de Carbón coque,17
CARBONMAUTO,Autogeneración de Carbón mineral,NA,Autogeneración de Carbón mineral,16
CARBONMC,Cantidad de Carbón mineral,NA,Cantidad de Carbón mineral,17
CARBONMCO,Cogeneración de Carbón mineral,NA,Cogeneración de Carbón mineral,16
CARBONMV,Valor de Carbón mineral,NA,Valor de Carbón mineral,17
CARBONVAUTO,Autogeneración de Carbón vegetal,NA,Autogeneración de Carbón vegetal,16
CARBONVC,Cantidad de Carbón vegetal,NA,Cantidad de Carbón vegetal,17
CARBONVCO,Cogeneración de Carbón vegetal,NA,Cogeneración de Carbón vegetal,16
CARBONVV,Valor de Carbón vegetal,NA,Valor de Carbón vegetal,17
CASCAAUTO,Autogeneración de Cascarilla de arroz,NA,Autogeneración de Cascarilla de arroz,16
CASCAC,Cantidad de Cascarilla de arroz,NA,Cantidad de Cascarilla de arroz,17
CASCACO,Cogeneración de Cascarilla de arroz,NA,Cogeneración de Cascarilla de arroz,16
CASCAFAUTO,Autogeneración de Cascarilla de café,NA,Autogeneración de Cascarilla de café,16
CASCAFC,Cantidad de Cascarilla de café,NA,Cantidad de Cascarilla de café,17
CASCAFCO,Cogeneración de Cascarilla de café,NA,Cogeneración de Cascarilla de café,16
CASCAFV,Valor de Cascarilla de café,NA,Valor de Cascarilla de café,17
CASCAV,Valor de Cascarilla de arroz,NA,Valor de Cascarilla de arroz,17
CIIU3,CIIU,NA,CIIU,4
CIIU4,CIIU,NA,CIIU,12
CIIU_4,CIIU,NA,CIIU,1
CONSIN,Otros Gastos,NA,Otros Gastos,17
CONSIN2,Consumo Intermedio,NA,Consumo Intermedio,17
CONSMATE,Consumo de Materias,NA,Consumo de Materias,17
DEPRECIA,Depreciación,NA,Depreciación,17
DIESAUTO,Autogeneración de Diésel Oíl,NA,Autogeneración de Diésel Oíl,16
DIESC,Cantidad de Diésel Oíl,NA,Cantidad de Diésel Oíl,17
DIESCO,Cogeneración de Diésel Oíl,NA,Cogeneración de Diésel Oíl,16
DIESV,Valor de Diésel Oíl,NA,Valor de Diésel Oíl,17
DPTO,Departamento,NA,Departamento,17
EELEC,Energía Eléctrica en kw,NA,Energía Eléctrica en kw,17
FUELAUTO,Autogeneración de Fuel Oíl,NA,Autogeneración de Fuel Oíl,16
FUELC,Cantidad de Fuel Oíl,NA,Cantidad de Fuel Oíl,17
FUELCO,Cogeneración de Fuel Oíl,NA,Cogeneración de Fuel Oíl,16
FUELV,Valor de Fuel Oíl,NA,Valor de Fuel Oíl,17
GASNAUTO,Autogeneración de Gas natural,NA,Autogeneración de Gas natural,16
GASNC,Cantidad de Gas natural,NA,Cantidad de Gas natural,17
GASNCO,Cogeneración de Gas natural,NA,Cogeneración de Gas natural,16
GASNV,Valor de Gas natural,NA,Valor de Gas natural,17
GASOLAUTO,Autogeneración de Gasolina,NA,Autogeneración de Gasolina,16
GASOLC,Cantidad de Gasolina,NA,Cantidad de Gasolina,17
GASOLCO,Cogeneración de Gasolina,NA,Cogeneración de Gasolina,16
GASOLV,Valor de Gasolina,NA,Valor de Gasolina,17
GASPAUTO,Autogeneración de Gas propano - GLP,NA,Autogeneración de Gas propano - GLP,16
GASPC,Cantidad de Gas propano - GLP,NA,Cantidad de Gas propano - GLP,17
GASPCO,Cogeneración de Gas propano - GLP,NA,Cogeneración de Gas propano - GLP,16
GASPV,Valor de Gas propano - GLP,NA,Valor de Gas propano - GLP,17
INVEBRTA,Inversión Bruta,NA,Inversión Bruta,17
KEROSAUTO,Autogeneración de Querosén,NA,Autogeneración de Querosén,16
KEROSC,Cantidad de Querosén,NA,Cantidad de Querosén,17
KEROSCO,Cogeneración de Querosén,NA,Cogeneración de Querosén,16
KEROSV,Valor de Querosén,NA,Valor de Querosén,17
LENAAUTO,Autogeneración de Leña,NA,Autogeneración de Leña,16
LENAC,Cantidad de Leña,NA,Cantidad de Leña,17
LENACO,Cogeneración de Leña,NA,Cogeneración de Leña,16
LENAV,Valor de Leña,NA,Valor de Leña,17
NORDEMP,Número de Empresa,NA,Número de Empresa,17
NORDEST,Número de Establecimiento,NA,Número de Establecimiento,17
PERAPREN,Prestaciones del personal aprendiz,NA,Prestaciones del personal aprendiz,9
PERIODO,Año,NA,Año,17
PERSOCU,Personal Permanente,NA,Personal Permanente,17
PERSOESC,Personal Permanente + Propietarios,NA,Personal Permanente + Propietarios,17
PERTEM3,Personal Temporal Directo,NA,Personal Temporal Directo,17
PERTOTAL,Personal Permanente + Propietarios + Personal Temporal Directo + Temporal Empres,NA,Personal Permanente + Propietarios + Personal Temporal Directo + Temporal Empres,17
PETROAUTO,Autogeneración de Petróleo crudo,NA,Autogeneración de Petróleo crudo,16
PETROC,Cantidad de Petróleo crudo,NA,Cantidad de Petróleo crudo,17
PETROCO,Cogeneración de Petróleo crudo,NA,Cogeneración de Petróleo crudo,16
PETROV,Valor de Petróleo crudo,NA,Valor de Petróleo crudo,17
PORCON,Porcentaje consumo origen extranjero,NA,Porcentaje consumo origen extranjero,7
PORCVT,Porcentaje vendido al exterior,NA,Porcentaje vendido al exterior,16
PPERYTEM,Personal Permanente + Temporal Directo,NA,Personal Permanente + Temporal Directo,17
PRESPYTE,Prestaciones de Permanente y Temporal Directo,NA,Prestaciones de Permanente y Temporal Directo,17
PRESSPER,Prestaciones de Permanente,NA,Prestaciones de Permanente,17
PRODBIND,Producción Industrial,NA,Producción Industrial,17
PRODBR2,Producción Bruta,NA,Producción Bruta,17
R1CSAP,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789,NA,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789,17
R2CSAP,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789,NA,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789,17
R3CSAP,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789,NA,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789,17
R4CSAP,Total  Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (,NA,Total  Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (,17
REMUTEMP,Remuneración empelados temporales,NA,Remuneración empelados temporales,16
RESPALAUTO,Autogeneración de Residuos de palma,NA,Autogeneración de Residuos de palma,16
RESPALC,Cantidad de Residuos de palma,NA,Cantidad de Residuos de palma,17
RESPALCO,Cogeneración de Residuos de palma,NA,Cogeneración de Residuos de palma,16
RESPALV,Valor de Residuos de palma,NA,Valor de Residuos de palma,17
SALAPREN,Salarios del personal aprendiz,NA,Salarios del personal aprendiz,9
SALARPER,Salario de Permanentes,NA,Salario de Permanentes,17
SALPEYTE,Salario Personal Permanente y Temporal,NA,Salario Personal Permanente y Temporal,17
TOTALV,Valor total Energéticos,NA,Valor total Energéticos,17
VALAGRI,Valor Agregado,NA,Valor Agregado,17
VALORCOM,Valor de la materia prima comprada,NA,Valor de la materia prima comprada,17
VALORCX,Valor compras de materia prima en el exterior,NA,Valor compras de materia prima en el exterior,17
VALORVEN,Valor de las ventas,NA,Valor de las ventas,17
VALQCONS,Valor de la materia prima consumida,NA,Valor de la materia prima consumida,8
VALVFAB,Valor de la producción,NA,Valor de la producción,6
